category,down_part,up_part,top_scroll,desc
猴,喜鹊闹春事事吉祥金猴贺岁一国呈祥,金猴献礼家家顺利玉燕嬉春九州铺锦,,
猴,龙骧虎奋九州儿女创殊荣猴年来兮当发扬金猴精神,镰运锤挥万古江山开盛世羊岁去矣应记取亡羊教训,,
猴,莺歌燕舞腾飞岁席再腾飞世人歌盛世家兴万富民康宁,猴去鸡来胜利年终迎胜利猴年赞金猴棒奋千钧除腐败,,
虎,祝丰年扶犁又唱丰收谣,庆虎岁把酒高吟虎跃曲,,
虎,送牛岁勇当奉献老黄牛,迎虎年敢逐改革拦路虎,,
虎,入虎岁人人当改革先锋,迎新春处处呈文明气象,,
虎,莺歌燕舞春风旭日蔚神州,虎跃龙腾碧海黄山妆玉宇,,
虎,莺歌燕舞阳春山水尽朝晖,虎跃龙腾华夏人民多俊杰,,
虎,虎跃深山寅岁图开舜尧天,牛耕广野丑年犁出文明路,,
虎,珠还合浦欢歌一统共迎春,岁步寅年喜庆团圆同把酒,,
虎,欢歌兔岁亿民再赞澳门归,喜庆牛年两制先迎香港还,,
虎,培山培水山藏虎豹水藏龙,栽竹栽松竹隐凤凰松隐鹤,,
虎,寅年兴大业宏图展现壮情怀,丑岁建奇功香港回归昌国运,,
虎,春节焕春光绣水描山总是春,虎年喜虎劲攻关夺隘皆如虎,,
虎,虎岁喜临门虎威大振有精神,牛年虽过去牛劲更增多奉献,,
虎,佳节描春色九州大地荡春潮,寅时入虎年十亿人民振虎劲,,
虎,看今朝虎威壮中华众志成城经济腾飞,忆旧岁牛劲冲霄汉神鞭一指神州巨变,,
虎,柳浪莺歌锦绣春,门庭虎踞平安岁,,
虎,户生虎气鸟争鸣,门浴春风梅吐艳,,
虎,岁别丑牛大地春,年逢寅虎群情奋,,
虎,虎跃龙腾大有年,牛肥马壮丰收岁,,
虎,虎跃龙腾处处春,牛肥马壮家家富,,
虎,虎驮五福贺新春,牛奋千程荣盛世,,
虎,虎添双翼会风云,牛奋四蹄开锦绣,,
虎,虎啸青山万木荣,牛耕绿野千仓满,,
虎,虎啸群山大步来,牛耕沃野扬长去,,
虎,万民谱写虎春秋,千载难逢新世纪,,
虎,斗丙回寅万户春,乾元启运三阳泰,,
虎,虎跃奇峰气势雄,人逢盛世精神壮,,
虎,虎岁承欢幸福春,人间喜庆康平世,,
虎,祖国江山似画图,人民气魄如龙虎,,
虎,门添春色发春辉,人入虎年鼓虎劲,,
虎,雪舞丰年燕舞春,人添志气虎添翼,,
虎,岁朝寅虎劲更高,人效黄牛心自贵,,
虎,虎跃龙腾日月新,山明水秀风光丽,,
虎,留春伴读奋年年,生气联吟欣虎虎,,
虎,千山虎啸振雄风,四海龙腾抒壮志,,
虎,千家万户虎精神,四海三江春气息,,
虎,九州英杰跃鹏程,四海笙歌迎虎岁,,
虎,是真俊杰敢擒龙,唯大英雄能伏虎,,
虎,睁双眼照耀乾坤,啸一声惊天动地,,
虎,大路朝阳马奋蹄,新年捷报虎添翼,,
虎,展宏图更壮虎威,兴伟业仍须牛劲,,
虎,三春杨柳动莺歌,一代英豪生虎气,,
虎,祖国江山似画图,英雄气概如龙虎,,
虎,龙虎精神龙虎年,英雄时代英雄业,,
虎,虎跃龙腾大治年,莺歌燕舞新春日,,
虎,兴中华虎劲冲天,迎春节莺歌遍地,,
虎,雨翻墨浪走蛟龙,云喷笔花腾虎豹,,
虎,门前绿水玉龙盘,宅后青山金虎踞,,
虎,开山治水展鹏程,致富脱贫添虎翼,,
虎,寅方斗指天下皆春,丙穴鱼生人间改岁,,
虎,岁月峥嵘虎跃龙腾,春风浩荡花香鸟语,,
虎,风调雨顺五谷丰登,虎跃龙腾九州焕彩,,
虎,虎卧华堂满院生辉,牛奔福地普天献瑞,,
虎,安若泰山虎踞龙盘,势如破竹人欢马叫,,
虎,红旗招展龙虎扬威,紫气东来江山如画,,
虎,人民幸福舞燕飞莺,祖国富强神龙活虎,,
虎,黄莺鸣翠柳辞旧迎新,白虎替青牛招财进宝,,
虎,莺歌燕舞描大地春光,虎跃龙腾创人间奇迹,,
虎,花香鸟语无地不春风,虎跃龙腾有天皆丽日,,
虎,虎啸龙吟华夏壮神威,花团锦簇江山添异彩,,
虎,乳虎迎春带捷报新来,金牛辞旧携凯歌而去,,
虎,丑牛接寅虎虎虎生威,瑞雪兆丰年年年大吉,,
虎,人民思治龙虎振精神,岁月逢春山河添锦绣,,
虎,闻鸡起舞挥笔颂春光,效虎豪吟放怀歌富岁,,
虎,宏图再展乳虎显神通,祖国腾飞大鹏振羽翼,,
虎,腊尽春回,龙腾虎啸,,
虎,茅庐卧龙飞,高崖伏虎啸,,
虎,龙腾海浪高,虎啸风声远,,
虎,虎越万重山,龙引千江水,,
虎,萝峰染晴云,密林藏伏虎,,
虎,风虎浴清泉,山月流古雪,,
虎,虎虎有生气,事事都如意,,
虎,天上凤凰儿,云中熊虎将,,
虎,一声长啸势惊天,百尺飞泉鸣震谷,,
虎,寅宾璀灿日光华,丙部琳琅春馥郁,,
虎,江南猿啼岭上风,长白虎啸林中日,,
虎,神州崛起似龙飞,赤县奔腾如虎跃,,
虎,牛归虎跃春意浓,丑旧寅新宏图展,,
虎,牛奔虎啸九州春,丑去寅来千里锦,,
虎,牛奔虎跃春愈新,丑去寅来人益健,,
虎,虎气升腾岳麓雄,春风浩荡神州绿,,
虎,虎气生威壮国魂,春风着意随人愿,,
虎,虎将虎年扬虎威,春光春色源春意,,
虎,虎年乐见虎生风,春节乍闻春有喜,,
虎,月夜旋风草木飞,春雷巨响山河动,,
虎,岁祯虎啸物昭苏,春晓寅回人起舞,,
虎,雷鸣巨吼动千山,电闪金光夸五色,,
虎,高昂奋勇虎精神,憨厚忠诚牛品德,,
虎,春风浩荡展鸿图,虎步奔腾开胜景,,
虎,花得鸟语旧更新,虎踞龙盘今胜昔,,
虎,莺歌燕舞呈吉祥,虎踞龙盘今胜昔,,
虎,喜讯唤来燕子情,虎年赢得春风意,,
虎,春风常驻户迎春,虎气顿生年属虎,,
虎,春风浩荡著新篇,虎气频催翻旧景,,
虎,国展宏图事业新,虎添双翼前程远,,
虎,龙腾祖国国扬威,虎啸大山山献宝,,
虎,鹤眠苍松月千岩,虎啸密林凤万壑,,
虎,风拂绿柳万家春,虎啸青山千里锦,,
虎,龙腾三界吉祥来,虎啸一声山海动,,
虎,风调雨顺兆丰年,虎跃龙腾生紫气,,
虎,莺歌燕舞羡鹏程,虎跃龙腾兴骏业,,
虎,春临盛世万民欢,虎跃神州千业旺,,
虎,虎年更有虎威风,花事才逢花好日,,
虎,猛虎初来气象新,黄牛虽去精神在,,
虎,事业辉煌虎更威,江山秀丽春增色,,
虎,岁月三春入虎年,江山一统腾龙日,,
虎,不负英雄千古名,皆称飞虎一身胆,,
虎,玉虎迎春敛福来,金牛昂首高歌去,,
虎,白虎迎春喜气来,金牛辞岁寒风尽,,
虎,玉虎迎春百业兴,金牛辞岁千仓满,,
虎,乳虎添翼舞新春,金牛奋蹄奔大道,,
虎,乳虎添翼会风云,金牛奋蹄开锦绣,,
虎,玉虎迎新万户欢,金牛送旧千家乐,,
虎,鸟语花香天地春,龙腾虎跃人间景,,
虎,神州虎啸青山来,绿野春深禾涌碧,,
鸡,迎春鸡报晓高唱东方红,除夕猴在山重享齐天乐,,
鸡,鸡年纳福大地万紫千红,猴岁呈祥长空五光十色,,
鸡,金鸡喜唱歌斯盛世乐无穷,彩凤高翔恋我中华春不老,,
鸡,雄鸡报晓千家楼阁映朝晖,大圣辞年万里河山留瑞霭,,
鸡,小康在望四化图开彩凤飞,大业方兴五星旗展金鸡唱,,
鸡,声声爆竹欢送大圣载誉归,点点梅花笑迎雄鸡朝天唳,,
鸡,犬蹲院里九州盛世乐尧天,鸡唱门庭四海升平歌舜日,,
鸡,凤鸣两岸一树梅开天地心,鸡唱三通万家春正乾坤气,,
鸡,犬歌日出九州大地尽朝晖,鸡唱月归一线长天皆瑞霭,,
鸡,宏图再展金允高唱迎春来,捷报频传圣猴舞棒辞岁去,,
鸡,彩凤朝阳腾飞如旭日升华,金鸡报晓改革似春风化雨,,
鸡,红梅竞放花开五福庆丰年,金鸡报晓时转三阳迎淑气,,
鸡,鸡鸣大地彤彤旭日耀寰球,雷震南天滚滚春潮生九域,,
鸡,民安国泰玉羽司晨报晓春,人寿年丰金猴辞岁归帘洞,,
鸡,金凤迎春昂头振翼唱东风,神猴辞岁保驾护航奔富路,,
鸡,大地回春群山霞彩富神州,雄鸡唱韵万户桃符新气象,,
鸡,腊狗汪汪歌舜日春暖花开,雄鸡喔喔颂尧天邦兴国治,,
鸡,雄鸡振翅几声雅唱瑞云生,在圣班师一路凯歌笳鼓竞,,
鸡,金鸡唱晓九州时雨润小康,紫燕迎春一路东风歌大治,,
鸡,福满人间欣逢盛世跃马扬鞭,春回大地喜庆新春闻鸡起舞,,
鸡,柳舞春江绿千重锦浪映丹霞,鸡鸣曙日红万里金光辉瑞霭,,
鸡,水近先得月紧跟形势上台阶,鸡鸣早看天抓住时机求发展,,
鸡,三春辉紫气八方彩凤共朝阳,九域涌新潮四海雄鸡争唱晓,,
鸡,一元欣复始司晨报午必三鸣,万象喜回春守信知廉标五德,,
鸡,迎春思试剑三擂战鼓气吞虹,振翅欲冲霄一唱雄鸡声破晓,,
鸡,大地万紫千红迎春鸡报晓高唱东方红,长空五光十色除夕猴在山重享齐天乐,,
鸡,金鸡报晓,丹凤来仪,,
鸡,鸡年纳福,猴岁呈祥,,
鸡,燕舞阳春,鸡鸣晓旦,,
鸡,鸡传佳音,鹊送喜报,,
鸡,金凤迎春,神猴辞岁,,
鸡,大地回春,雄鸡唱韵,,
鸡,黄犬吠年丰,红鸡啼夜晓,,
鸡,鸡迎锦绣春,猴引康庄道,,
鸡,政改地回春,鸡鸣天放晓,,
鸡,人笑福里春,鸡声窗前月,,
鸡,春意海南潮,鸡声天下曙,,
鸡,紫燕春双飞,金鸡日独立,,
鸡,报午必三鸣,知廉标五德,,
鸡,闻鸡起舞舞新春,把酒当歌歌盛世,,
鸡,昂头振翼唱东风,保驾护航奔富路,,
鸡,酉添春水上朱颜,癸戴草头朝赤日,,
鸡,党政清廉事业兴,国家安定人民乐,,
鸡,金鸡报晓促长征,红日升空辉大道,,
鸡,鸡鸣又报万家春,猴奋已教千户乐,,
鸡,年迎大有伴春来,鸡报小康随日出,,
鸡,犬绘梅花五福临,鸡描竹叶三中颂,,
鸡,犬吠欣迎富贵宾,鸡鸣喜报丰收果,,
鸡,犬吠神州岁月新,鸡鸣晓日江山丽,,
鸡,马踏青云奔小康,鸡鸣紫陌迎新曙,,
鸡,猴棒三挥玉宇清,鸡声一唱东方白,,
鸡,彩凤欢啼盛世春,金猴留恋丰收年,,
鸡,丹凤朝阳赞中兴,金鸡报晓歌大治,,
鸡,铁牛欢催改革潮,金鸡高唱迎春曲,,
鸡,锦犬迎来大地春,金鸡唤出扶桑日,,
鸡,绿柳轻摇舞絮妍,金鸡喜唱催春早,,
鸡,玉犬三呼报福音,金鸡一唱传佳讯,,
鸡,九州赤子报三春,两岸金鸡歌一统,,
鸡,鸡生元宝地生财,鸟报晴和花报喜,,
鸡,鸡可司里送旧年,犬能守夜迎新岁,,
鸡,九州盛世乐尧天,四海升平歌舜日,,
鸡,群山霞彩富神州,万户桃符新气象,,
鸡,一元欣复始司晨,万象喜回春守信,,
鸡,击壤而歌颂小康,闻鸡起舞迎元旦,,
鸡,金鸡三遍报新春,喜爆千声歌盛世,,
鸡,金鸡起舞报福音,喜鹊登枝迎新岁,,
鸡,金犬吠来四海安,雄鸡唱罢九州乐,,
鸡,腊狗汪汪歌舜日,雄鸡喔喔颂尧天,,
鸡,健笔勤书正气多,雄鸡喜报春光好,,
鸡,志士欢歌改革年,雄鸡喜唱升平日,,
鸡,锦犬再雕宇宙春,雄鸡一唱天下白,,
鸡,闻鸡起舞杏花天,跃马扬鞭芳草地,,
鸡,春暖花开犬蹲院里,邦兴国治鸡唱门庭,,
鸡,金鸡报晓福满人间,丹凤来仪春回大地,,
鸡,欣逢盛世跃马扬鞭,喜庆新春闻鸡起舞,,
鸡,志士欢歌改革年?,雄鸡喜唱升平日?,,
龙,金龙跃处喜看华夏画图新,玉兔归时羡慕人间春色美,,
龙,金龙献岁常牵天际彩云归,玉兔回宫永羡人间春色舞,,
龙,金龙运气宏开新纪写春光,玉兔追风喜接澳门归祖国,,
龙,华灯照新春金龙捷足步青云,爆竹辞旧岁玉兔毫光生紫气,,
龙,文明开新局莺歌燕舞太平春,改革奏凯歌虎跃龙腾强盛景,,
龙,春为燕天地燕舞春风燕语新,海是龙故乡龙腾海宇龙光起,,
龙,春为花世界花吐春光花盛开,海是龙故乡龙腾海宇龙兴起,,
龙,花香鸟语九州大地春色正浓,虎跃龙腾万里长征风光无限,,
龙,群龙皆起舞欣吟港澳共团圆,佳节倍思亲厚望台澎同日月,,
龙,辰年逢盛世千村万户讲文明,卯岁展宏图五湖四海歌大有,,
龙,降蛟龙掌乾坤实现四化宏图,骑飞虎奋云程广罗八方志士,,
龙,春迎燕燕衔花花团锦簇贺新春,岁属龙龙布雨雨顺风调呈稔岁,,
龙,入龙年江山一统巧手红心建九州,辞旧岁国共三联赤子丹忱争四化,,
龙,喜鹊羡故园起舞梅花朵朵报新春,巨龙迎盛世狂欢爆竹声声辞旧岁,,
龙,兴于河海负图衔甲同马一样精神,来自云天出角露牙与虎几番争斗,,
龙,雄狮抖擞巨龙舞舞来华夏太平年,玉兔欢奔金乌飞飞向春光明媚处,,
龙,是英雄有胆有识能拔猛虎口中牙,真豪杰无私无畏敢锯孽龙头上角,,
龙,紫燕展翅绿柳吐丝梅花朵朵迎新春,巨龙凌空雄狮拜地爆竹声声辞旧岁,,
龙,虎啸西冈牛耕北国虎牛威力震千秋,龙游东海马放南山龙马精神传万代,,
龙,春临世界喜降人间龙腾虎跃竞争先,绿抹柳梢红燃花萼燕舞莺歌相比美,,
龙,龙年多造福人人福中过坐亨清福行吗,大地早回春处处春光好莫把青春负了,,
龙,花明柳暗九州歌宝鼎同期两制乐千秋,兔去龙来四海喜金瓯共祝三通图一统,,
龙,雄狮欢巨龙舞欢欢舞舞舞出华夏壮美丽,玉兔走金鸟飞走走飞飞飞向春光明媚处,,
龙,神州虎跃气象万千,华夏龙腾春晖无限,,
龙,辉煌胜纪燕舞莺歌,锦绣前程龙腾虎跃,,
龙,春之使者润土丰年,龙的传人强邦富国,,
龙,鲲鹏展翅华夏腾飞,龙凤炳文神州焕彩,,
龙,鲲鹏展翅华夏腾飞,龙凤呈祥阳春锦绣,,
龙,花开富贵人寿年丰,龙启吉祥云蒸霞蔚,,
龙,春盈大地花漫神州,龙上高天凤翔过树,,
龙,春满江山花漫神州,龙腾云海凤翔天宇,,
龙,老树著花贵有繁枝,龙钟传技不留一手,,
龙,春临世界喜降人间,绿抹柳梢红燃花萼,,
龙,八仙过海百姓安康,四柱擎天九龙腾跃,,
龙,龙舞长空捷报千传,兔腾大地清辉万里,,
龙,展志舒情彩凤腾飞,吞云吐雾金龙崛起,,
龙,九州辞玉兔共接神龙,百姓喜金瓯同歌宝鼎,,
龙,南天开淑景俊鸟鸣春,东海跃明珠金龙献岁,,
龙,莺歌燕舞造福两千年,虎跃龙腾建功九万里,,
龙,移山填海十亿尽风流,起凤腾龙千家争贡献,,
龙,五星焕彩引玉龙腾飞,四柱擎天看神州巨变,,
龙,凯歌传江海鱼跃龙门,喜气满庭阶春来福地,,
龙,金龙下界更展大宏图,玉兔回宫喜迎新世纪,,
龙,群龙献瑞欣逢世纪更新,百鸟鸣春堪喜人间换岁,,
龙,东海龙西山凤凤舞龙飞,南疆雨北国风风调雨顺,,
龙,给民造福敢入四海擒龙,为国争光可上九天揽月,,
龙,金龙上华表大地庆新春,玉兔回蟾宫长空悬朗月,,
龙,金龙献瑞九州欢乐唱丰年,爆竹飞花四海升平庆富庶,,
龙,金龙还世世纪崭新国力雄,爆竹迎春春光明媚人心畅,,
龙,人杰地灵文明古国尽朝晖,藏龙卧虎华夏大地春常地,,
龙,双节双增莺歌燕舞入三春,大开大放虎跃龙腾奔四化,,
龙,揽月摘星龙吟九派熠九州,改天换地狮啸八荒光八极,,
龙,旌旗漫卷开元虎步舞长风,鼓角争鸣跨纪龙骧腾热浪,,
龙,莺歌燕舞同观四海好风光,虎步龙骧共创九州新世纪,,
龙,龙人十亿才跨赤兔又乘龙,虎将三千曾驭红鬃还伏虎,,
龙,神州虎跃大江南北尽朝晖,华夏龙腾长城内外皆春色,,
龙,巨龙昂首英雄独领好风骚,华夏腾飞时势造就新业绩,,
龙,云龙山虎禹甸宏图巧手描,画海诗天神州美景能人绘,,
龙,日新月异宏图焕彩景迷人,荆艳莲香龙国迎春花织锦,,
龙,江山锦绣江南江北水长流,龙虎精神龙子龙孙功不灭,,
龙,春回南岭万枝火桔万枝梅,龙闹北溟千里冰凌千里雪,,
龙,春节春风送春光春满人间,龙年龙裔看龙舞龙飞天上,,
龙,鹏鸟岂堪同日语绝胜鹏搏,龙种自与常人殊况逢龙岁,,
龙,身弥虎劲敢凭虎胆占鳌头,岁届龙年好跳龙门题雁塔,,
龙,人间改岁小院欣闻爆竹鸣,天下皆春长街喜看龙灯舞,,
龙,龙门一跃今年体制再更新,兔窟三营去岁财经已搞活,,
龙,龙腾玉宇千家笑语乐新程,兔卧蓝田万里春风舒碧野,,
龙,珠还璧合春满金瓯世纪新,兔跃龙腾瑞盈玉宇天光丽,,
龙,龙腾虎跃敢攀龙角接龙年,兔走乌飞大舞兔毫辞兔岁,,
龙,人杰地灵喜看神州起卧龙,物华天宝欣闻禹域鸣雏凤,,
龙,乐迎盛世人民幸福焕春光,喜值龙年经济腾飞增国力,,
龙,藏龙卧虎盛世人家福永存,绣水描山神州大地春常在,,
龙,金龙出海改革波澜动地来,玉兔归宫新春喜气连天外,,
龙,九龙献瑞庆良辰,万物呈祥荣盛世,,
龙,是真豪杰乃降龙,唯大英雄能伏虎,,
龙,有志金龙越古今,无边春色来天地,,
龙,今日龙腾四海春,昔年虎啸千山壮,,
龙,新开世纪正腾龙,喜报人间曾伏虎,,
龙,笑饮改革酒一杯,喜看龙年花千树,,
龙,吉祥梅花迎金龙,喜庆爆竹送玉兔,,
龙,愿龙年百业昌荣,喜兔岁九州丰稔,,
龙,大泽蛰龙起泰山,小康岁月多春意,,
龙,笑望巨龙四海飞,欣看大地千重秀,,
龙,喜看神州起卧龙,欣闻禹域鸣雏凤,,
龙,大龙谱写大文章,新岁迎来新世纪,,
龙,文明宅第子孙贤,幸福家庭龙虎卧,,
龙,中华崛起巨龙飞,旭日东升丹凤舞,,
龙,书山路上凤声高,学海潮头龙影动,,
